sample,study,cohort,MGMT_mRNA
TCGA-DA-A95Z-06,SKCM,non-glioma,8.9066
TCGA-EE-A29D-06,SKCM,non-glioma,5.8046
TCGA-EE-A29V-06,SKCM,non-glioma,11.7499
TCGA-W3-AA1O-06,SKCM,non-glioma,9.7714
TCGA-EE-A2GJ-06,SKCM,non-glioma,7.2075
TCGA-3N-A9WC-06,SKCM,non-glioma,9.106
TCGA-3N-A9WD-06,SKCM,non-glioma,9.8119
TCGA-D9-A1JW-06,SKCM,non-glioma,9.9619
TCGA-EE-A2GC-06,SKCM,non-glioma,7.4752
TCGA-ER-A19F-06,SKCM,non-glioma,5.1829
TCGA-DA-A1IC-06,SKCM,non-glioma,6.1167
TCGA-EE-A2GP-06,SKCM,non-glioma,9.1291
TCGA-FS-A4F9-06,SKCM,non-glioma,10.428
TCGA-EE-A20I-06,SKCM,non-glioma,9.2225
TCGA-EE-A29S-06,SKCM,non-glioma,9.6457
TCGA-ER-A19A-06,SKCM,non-glioma,9.6543
TCGA-WE-A8K6-06,SKCM,non-glioma,9.9355
TCGA-EE-A29L-06,SKCM,non-glioma,7.5978
TCGA-EE-A29N-06,SKCM,non-glioma,7.6883
TCGA-EE-A2GR-06,SKCM,non-glioma,4.1367
TCGA-FR-A8YC-06,SKCM,non-glioma,5.4061
TCGA-GF-A6C9-06,SKCM,non-glioma,10.1761
TCGA-D3-A8GP-06,SKCM,non-glioma,4.859
TCGA-EE-A2GT-06,SKCM,non-glioma,8.5128
TCGA-ER-A19C-06,SKCM,non-glioma,9.1372
TCGA-RP-A693-06,SKCM,non-glioma,9.0023
TCGA-D3-A2J9-06,SKCM,non-glioma,8.7938
TCGA-EE-A3JE-06,SKCM,non-glioma,7.7071
TCGA-YD-A9TA-06,SKCM,non-glioma,9.1865
TCGA-D3-A2JF-06,SKCM,non-glioma,7.7886
TCGA-D3-A5GL-06,SKCM,non-glioma,9.9405
TCGA-FS-A1ZM-06,SKCM,non-glioma,6.9917
TCGA-WE-A8K1-06,SKCM,non-glioma,7.6725
TCGA-D3-A8GM-06,SKCM,non-glioma,7.5878
TCGA-EE-A2MC-06,SKCM,non-glioma,9.9905
TCGA-GN-A4U4-06,SKCM,non-glioma,5.4549
TCGA-QB-AA9O-06,SKCM,non-glioma,8.0077
TCGA-D3-A1Q9-06,SKCM,non-glioma,6.6574
TCGA-EE-A184-06,SKCM,non-glioma,5.9922
TCGA-EE-A2MS-06,SKCM,non-glioma,9.8332
TCGA-EE-A3J4-06,SKCM,non-glioma,5.9372
TCGA-3N-A9WB-06,SKCM,non-glioma,9.6195
TCGA-EB-A5UL-06,SKCM,non-glioma,9.6549
TCGA-EE-A2A2-06,SKCM,non-glioma,9.4386
TCGA-EE-A2MU-06,SKCM,non-glioma,9.6945
TCGA-EE-A3J5-06,SKCM,non-glioma,9.3454
TCGA-FS-A1ZY-06,SKCM,non-glioma,10.1052
TCGA-GN-A4U9-06,SKCM,non-glioma,9.0061
TCGA-RP-A694-06,SKCM,non-glioma,9.5485
TCGA-W3-AA1R-06,SKCM,non-glioma,10.9763
TCGA-D3-A3ML-06,SKCM,non-glioma,3.7843
TCGA-D9-A6EA-06,SKCM,non-glioma,7.361
TCGA-EE-A3JD-06,SKCM,non-glioma,7.5283
TCGA-GN-A8LK-06,SKCM,non-glioma,11.0215
TCGA-WE-A8JZ-06,SKCM,non-glioma,6.3129
TCGA-WE-A8ZM-06,SKCM,non-glioma,9.0284
TCGA-EE-A17Y-06,SKCM,non-glioma,6.2177
TCGA-EE-A180-06,SKCM,non-glioma,7.2542
TCGA-D3-A2JA-06,SKCM,non-glioma,8.1268
TCGA-D3-A2JH-06,SKCM,non-glioma,9.4055
TCGA-D3-A8GI-06,SKCM,non-glioma,11.3672
TCGA-DA-A95Y-06,SKCM,non-glioma,10.9232
TCGA-EE-A29A-06,SKCM,non-glioma,9.006
TCGA-FS-A1ZK-06,SKCM,non-glioma,8.7646
TCGA-FW-A3R5-06,SKCM,non-glioma,9.4219
TCGA-D3-A2J7-06,SKCM,non-glioma,6.892
TCGA-EE-A29B-06,SKCM,non-glioma,6.3835
TCGA-EE-A2GN-06,SKCM,non-glioma,9.2865
TCGA-D3-A8GQ-06,SKCM,non-glioma,8.7456
TCGA-D9-A3Z1-06,SKCM,non-glioma,7.9408
TCGA-EE-A2M7-06,SKCM,non-glioma,6.657
TCGA-EE-A2MH-06,SKCM,non-glioma,8.4599
TCGA-W3-A828-06,SKCM,non-glioma,9.2714
TCGA-D3-A2J6-06,SKCM,non-glioma,8.9006
TCGA-FS-A1ZW-06,SKCM,non-glioma,6.1178
TCGA-WE-A8K5-06,SKCM,non-glioma,6.8655
TCGA-D3-A1Q3-06,SKCM,non-glioma,9.1745
TCGA-FS-A4F4-06,SKCM,non-glioma,7.9649
TCGA-W3-AA1W-06,SKCM,non-glioma,8.6652
TCGA-D3-A3BZ-06,SKCM,non-glioma,8.7989
TCGA-DA-A1I0-06,SKCM,non-glioma,11.0984
TCGA-FS-A1ZD-06,SKCM,non-glioma,9.1916
TCGA-W3-AA1V-06,SKCM,non-glioma,6.7996
TCGA-DA-A1I7-06,SKCM,non-glioma,7.4349
TCGA-DA-A95X-06,SKCM,non-glioma,9.6623
TCGA-ER-A193-06,SKCM,non-glioma,7.2408
TCGA-FS-A1Z4-06,SKCM,non-glioma,10.1834
TCGA-WE-A8ZY-06,SKCM,non-glioma,5.8254
TCGA-YG-AA3O-06,SKCM,non-glioma,9.5189
TCGA-D3-A5GO-06,SKCM,non-glioma,10.4489
TCGA-EE-A2M6-06,SKCM,non-glioma,8.6821
TCGA-EE-A2MR-06,SKCM,non-glioma,8.5855
TCGA-D3-A1Q5-06,SKCM,non-glioma,7.4636
TCGA-D3-A51R-06,SKCM,non-glioma,9.7694
TCGA-EE-A2MJ-06,SKCM,non-glioma,8.8155
TCGA-GN-A264-06,SKCM,non-glioma,9.8876
TCGA-EE-A20C-06,SKCM,non-glioma,8.8378
TCGA-EE-A3J8-06,SKCM,non-glioma,7.5948
TCGA-D3-A2JD-06,SKCM,non-glioma,9.2441
TCGA-D3-A5GS-06,SKCM,non-glioma,6.588
TCGA-EE-A2MN-06,SKCM,non-glioma,6.1555
TCGA-ER-A1A1-06,SKCM,non-glioma,10.0986
TCGA-Z2-AA3S-06,SKCM,non-glioma,4.4787
TCGA-EE-A17Z-06,SKCM,non-glioma,9.8591
TCGA-FS-A1ZB-06,SKCM,non-glioma,8.9826
TCGA-W3-AA1Q-06,SKCM,non-glioma,10.3406
TCGA-WE-A8ZN-06,SKCM,non-glioma,11.498
TCGA-D9-A6EC-06,SKCM,non-glioma,9.6895
TCGA-D9-A6EG-06,SKCM,non-glioma,8.6958
TCGA-EE-A20H-06,SKCM,non-glioma,5.9012
TCGA-ER-A19O-06,SKCM,non-glioma,8.2197
TCGA-D3-A1Q6-06,SKCM,non-glioma,8.0799
TCGA-D3-A1QA-06,SKCM,non-glioma,9.7164
TCGA-DA-A1I1-06,SKCM,non-glioma,6.9488
TCGA-EB-A5KH-06,SKCM,non-glioma,5.5751
TCGA-EB-A6L9-06,SKCM,non-glioma,10.5017
TCGA-ER-A3EV-06,SKCM,non-glioma,8.7584
TCGA-FS-A1ZT-06,SKCM,non-glioma,10.0302
TCGA-D9-A4Z6-06,SKCM,non-glioma,9.3303
TCGA-EE-A17X-06,SKCM,non-glioma,10.9129
TCGA-EE-A29E-06,SKCM,non-glioma,10.6392
TCGA-EE-A3JH-06,SKCM,non-glioma,9.557
TCGA-ER-A19J-06,SKCM,non-glioma,9.6515
TCGA-FS-A1ZS-06,SKCM,non-glioma,6.162
TCGA-D3-A3MU-06,SKCM,non-glioma,7.4421
TCGA-EE-A20F-06,SKCM,non-glioma,7.2166
TCGA-EE-A29G-06,SKCM,non-glioma,9.493
TCGA-GN-A265-06,SKCM,non-glioma,9.0261
TCGA-D3-A8GS-06,SKCM,non-glioma,7.828
TCGA-DA-A3F3-06,SKCM,non-glioma,9.5366
TCGA-DA-A95W-06,SKCM,non-glioma,9.9299
TCGA-EB-A44R-06,SKCM,non-glioma,9.0102
TCGA-EE-A2MD-06,SKCM,non-glioma,8.8888
TCGA-FS-A1YW-06,SKCM,non-glioma,5.2529
TCGA-FS-A1ZP-06,SKCM,non-glioma,8.2177
TCGA-FS-A4F8-06,SKCM,non-glioma,9.0464
TCGA-D3-A51F-06,SKCM,non-glioma,9.5618
TCGA-D3-A51K-06,SKCM,non-glioma,11.3679
TCGA-DA-A1I4-06,SKCM,non-glioma,9.9421
TCGA-EE-A2GB-06,SKCM,non-glioma,9.6101
TCGA-EE-A2ME-06,SKCM,non-glioma,8.947
TCGA-FS-A1ZC-06,SKCM,non-glioma,5.5356
TCGA-GN-A4U8-06,SKCM,non-glioma,9.8878
TCGA-EE-A3AD-06,SKCM,non-glioma,9.2737
TCGA-ER-A2NC-06,SKCM,non-glioma,10.039
TCGA-FR-A7U8-06,SKCM,non-glioma,7.3858
TCGA-EB-A5UN-06,SKCM,non-glioma,8.3922
TCGA-EE-A2M5-06,SKCM,non-glioma,9.2878
TCGA-ER-A2NH-06,SKCM,non-glioma,8.0248
TCGA-ER-A42L-06,SKCM,non-glioma,9.1101
TCGA-OD-A75X-06,SKCM,non-glioma,4.9395
TCGA-QB-A6FS-06,SKCM,non-glioma,10.9198
TCGA-D3-A2J8-06,SKCM,non-glioma,9.4333
TCGA-D3-A8GB-06,SKCM,non-glioma,10.7621
TCGA-D3-A8GC-06,SKCM,non-glioma,9.0021
TCGA-EE-A183-06,SKCM,non-glioma,11.2998
TCGA-EE-A3JI-06,SKCM,non-glioma,8.1769
TCGA-WE-A8ZQ-06,SKCM,non-glioma,9.011
TCGA-D3-A3MO-06,SKCM,non-glioma,8.8573
TCGA-EE-A3AA-06,SKCM,non-glioma,7.5854
TCGA-EE-A3AC-06,SKCM,non-glioma,9.5438
TCGA-ER-A19N-06,SKCM,non-glioma,7.7581
TCGA-WE-AAA0-06,SKCM,non-glioma,6.5356
TCGA-EE-A2A1-06,SKCM,non-glioma,10.3016
TCGA-ER-A195-06,SKCM,non-glioma,9.3554
TCGA-D3-A8GK-06,SKCM,non-glioma,10.7299
TCGA-DA-A1I2-06,SKCM,non-glioma,5.9607
TCGA-DA-A3F5-06,SKCM,non-glioma,7.2394
TCGA-EE-A2MT-06,SKCM,non-glioma,9.576
TCGA-ER-A198-06,SKCM,non-glioma,5.2707
TCGA-GN-A266-06,SKCM,non-glioma,9.2863
TCGA-WE-A8ZX-06,SKCM,non-glioma,7.4904
TCGA-EE-A2GE-06,SKCM,non-glioma,8.5228
TCGA-EE-A3JA-06,SKCM,non-glioma,7.8727
TCGA-FR-A3YN-06,SKCM,non-glioma,8.5057
TCGA-D3-A8GL-06,SKCM,non-glioma,5.7766
TCGA-EE-A2A5-06,SKCM,non-glioma,9.9737
TCGA-EE-A2A6-06,SKCM,non-glioma,8.8906
TCGA-EE-A2MI-06,SKCM,non-glioma,9.0649
TCGA-EE-A3J7-06,SKCM,non-glioma,8.8695
TCGA-D3-A3MR-06,SKCM,non-glioma,10.3734
TCGA-DA-A1HY-06,SKCM,non-glioma,9.2883
TCGA-EE-A29W-06,SKCM,non-glioma,9.5331
TCGA-EE-A3J3-06,SKCM,non-glioma,9.1571
TCGA-ER-A19B-06,SKCM,non-glioma,7.7082
TCGA-FR-A8YE-06,SKCM,non-glioma,9.3165
TCGA-D9-A148-06,SKCM,non-glioma,10.263
TCGA-ER-A19H-06,SKCM,non-glioma,9.3104
TCGA-FS-A1ZE-06,SKCM,non-glioma,9.0847
TCGA-D3-A3CB-06,SKCM,non-glioma,8.1792
TCGA-DA-A3F8-06,SKCM,non-glioma,9.0941
TCGA-EE-A2GI-06,SKCM,non-glioma,9.2546
TCGA-ER-A2NE-06,SKCM,non-glioma,9.659
TCGA-FS-A4FD-06,SKCM,non-glioma,8.7362
TCGA-GN-A267-06,SKCM,non-glioma,10.6507
TCGA-D3-A2JP-06,SKCM,non-glioma,7.6068
TCGA-WE-AA9Y-06,SKCM,non-glioma,9.2878
TCGA-D3-A5GU-06,SKCM,non-glioma,8.6789
TCGA-ER-A19M-06,SKCM,non-glioma,9.5943
TCGA-FS-A1ZR-06,SKCM,non-glioma,6.7131
TCGA-EE-A2ML-06,SKCM,non-glioma,9.2475
TCGA-ER-A19L-06,SKCM,non-glioma,9.6781
TCGA-EE-A2GH-06,SKCM,non-glioma,9.1654
TCGA-D3-A1Q8-06,SKCM,non-glioma,8.0593
TCGA-FS-A1ZQ-06,SKCM,non-glioma,9.7666
TCGA-EE-A3AB-06,SKCM,non-glioma,9.7717
TCGA-EE-A3AH-06,SKCM,non-glioma,9.4003
TCGA-ER-A3PL-06,SKCM,non-glioma,6.5798
TCGA-GN-A4U3-06,SKCM,non-glioma,9.5208
TCGA-D3-A8GE-06,SKCM,non-glioma,9.7787
TCGA-W3-AA21-06,SKCM,non-glioma,9.215
TCGA-D3-A8GV-06,SKCM,non-glioma,6.2626
TCGA-EE-A3AG-06,SKCM,non-glioma,10.0814
TCGA-ER-A3ES-06,SKCM,non-glioma,9.5479
TCGA-D3-A2JK-06,SKCM,non-glioma,10.8177
TCGA-EE-A2MG-06,SKCM,non-glioma,9.461
TCGA-EE-A29C-06,SKCM,non-glioma,9.9287
TCGA-D3-A51J-06,SKCM,non-glioma,9.1943
TCGA-FS-A1Z7-06,SKCM,non-glioma,9.5723
TCGA-D3-A8GJ-06,SKCM,non-glioma,8.2972
TCGA-D3-A3C1-06,SKCM,non-glioma,9.7036
TCGA-D3-A51G-06,SKCM,non-glioma,9.4938
TCGA-RP-A695-06,SKCM,non-glioma,8.1253
TCGA-ER-A199-06,SKCM,non-glioma,10.1133
TCGA-EE-A182-06,SKCM,non-glioma,11.8275
TCGA-WE-AAA3-06,SKCM,non-glioma,9.6932
TCGA-DA-A95V-06,SKCM,non-glioma,7.3737
TCGA-ER-A197-06,SKCM,non-glioma,6.5837
TCGA-GN-A268-06,SKCM,non-glioma,4.9814
TCGA-EE-A181-06,SKCM,non-glioma,8.7713
TCGA-ER-A19S-06,SKCM,non-glioma,9.1924
TCGA-D9-A1JX-06,SKCM,non-glioma,6.7781
TCGA-D3-A1Q1-06,SKCM,non-glioma,9.7136
TCGA-FS-A1ZF-06,SKCM,non-glioma,9.1627
TCGA-EE-A2A0-06,SKCM,non-glioma,8.1017
TCGA-FS-A4F5-06,SKCM,non-glioma,7.7542
TCGA-D3-A1QB-06,SKCM,non-glioma,9.8163
TCGA-D3-A2JE-06,SKCM,non-glioma,5.9012
TCGA-D9-A6E9-06,SKCM,non-glioma,8.6211
TCGA-DA-A1HV-06,SKCM,non-glioma,9.8525
TCGA-FS-A1ZJ-06,SKCM,non-glioma,5.1151
TCGA-FS-A4FC-06,SKCM,non-glioma,10.1913
TCGA-D3-A3CE-06,SKCM,non-glioma,7.702
TCGA-GF-A4EO-06,SKCM,non-glioma,9.0216
TCGA-EE-A29P-06,SKCM,non-glioma,7.5821
TCGA-WE-A8ZO-06,SKCM,non-glioma,8.9017
TCGA-FS-A1Z3-06,SKCM,non-glioma,9.2099
TCGA-FW-A3TU-06,SKCM,non-glioma,10.3144
TCGA-GN-A26D-06,SKCM,non-glioma,5.1052
TCGA-FS-A1ZH-06,SKCM,non-glioma,7.6545
TCGA-D3-A2JB-06,SKCM,non-glioma,8.7037
TCGA-EE-A29Q-06,SKCM,non-glioma,10.6918
TCGA-EE-A2GM-06,SKCM,non-glioma,5.9818
TCGA-EE-A2MQ-06,SKCM,non-glioma,9.7476
TCGA-FS-A1ZU-06,SKCM,non-glioma,6.2873
TCGA-D3-A3CC-06,SKCM,non-glioma,6.6274
TCGA-DA-A1IB-06,SKCM,non-glioma,9.4197
TCGA-GN-A8LL-06,SKCM,non-glioma,12.0847
TCGA-FS-A4F0-06,SKCM,non-glioma,9.1824
TCGA-EE-A20B-06,SKCM,non-glioma,9.06
TCGA-EE-A2GO-06,SKCM,non-glioma,4.9857
TCGA-RP-A690-06,SKCM,non-glioma,10.1763
TCGA-D9-A149-06,SKCM,non-glioma,6.0038
TCGA-EE-A2GU-06,SKCM,non-glioma,6.121
TCGA-FR-A7UA-06,SKCM,non-glioma,9.1093
TCGA-ER-A3ET-06,SKCM,non-glioma,9.2271
TCGA-D3-A8GD-06,SKCM,non-glioma,8.4143
TCGA-DA-A1I8-06,SKCM,non-glioma,9.0284
TCGA-EE-A2MM-06,SKCM,non-glioma,9.2038
TCGA-FR-A7U9-06,SKCM,non-glioma,8.2449
TCGA-GN-A26A-06,SKCM,non-glioma,7.0897
TCGA-YG-AA3P-06,SKCM,non-glioma,9.1851
TCGA-GF-A6C8-06,SKCM,non-glioma,9.8487
TCGA-D3-A3CF-06,SKCM,non-glioma,7.4264
TCGA-EB-A5SH-06,SKCM,non-glioma,10.5008
TCGA-EE-A3JB-06,SKCM,non-glioma,8.9695
TCGA-FS-A1ZG-06,SKCM,non-glioma,8.4909
TCGA-W3-A825-06,SKCM,non-glioma,9.3622
TCGA-D3-A51T-06,SKCM,non-glioma,6.437
TCGA-EE-A29H-06,SKCM,non-glioma,6.7351
TCGA-FW-A3I3-06,SKCM,non-glioma,9.9831
TCGA-GN-A9SD-06,SKCM,non-glioma,8.3109
TCGA-D3-A3C8-06,SKCM,non-glioma,9.9897
TCGA-EE-A29X-06,SKCM,non-glioma,9.0151
TCGA-EE-A2GD-06,SKCM,non-glioma,7.3956
TCGA-GF-A3OT-06,SKCM,non-glioma,9.1484
TCGA-D3-A3C7-06,SKCM,non-glioma,6.7663
TCGA-EB-A5SG-06,SKCM,non-glioma,9.3756
TCGA-ER-A2ND-06,SKCM,non-glioma,10.7307
TCGA-FW-A3TV-06,SKCM,non-glioma,9.2846
TCGA-Z2-AA3V-06,SKCM,non-glioma,8.9567
TCGA-D3-A51N-06,SKCM,non-glioma,9.613
TCGA-FR-A8YD-06,SKCM,non-glioma,10.4243
TCGA-GN-A4U7-06,SKCM,non-glioma,5.2021
TCGA-WE-AAA4-06,SKCM,non-glioma,9.141
TCGA-EE-A185-06,SKCM,non-glioma,8.935
TCGA-FS-A1YY-06,SKCM,non-glioma,8.2738
TCGA-D3-A3C6-06,SKCM,non-glioma,5.6003
TCGA-D3-A8GR-06,SKCM,non-glioma,10.6161
TCGA-EE-A2M8-06,SKCM,non-glioma,7.9868
TCGA-FS-A1ZZ-06,SKCM,non-glioma,10.2392
TCGA-D3-A1Q4-06,SKCM,non-glioma,9.4353
TCGA-D3-A2JC-06,SKCM,non-glioma,8.9816
TCGA-EE-A3AE-06,SKCM,non-glioma,9.5086
TCGA-EB-A44Q-06,SKCM,non-glioma,9.1523
TCGA-EE-A29T-06,SKCM,non-glioma,6.464
TCGA-D3-A2JO-06,SKCM,non-glioma,7.3171
TCGA-EE-A29R-06,SKCM,non-glioma,8.6045
TCGA-EE-A3AF-06,SKCM,non-glioma,9.8582
TCGA-ER-A19G-06,SKCM,non-glioma,6.7028
TCGA-ER-A19W-06,SKCM,non-glioma,7.6631
TCGA-FW-A5DY-06,SKCM,non-glioma,9.0089
TCGA-ER-A19P-06,SKCM,non-glioma,8.6969
TCGA-GN-A262-06,SKCM,non-glioma,8.8296
TCGA-D3-A2JN-06,SKCM,non-glioma,8.6705
TCGA-EE-A2GK-06,SKCM,non-glioma,10.0097
TCGA-ER-A19D-06,SKCM,non-glioma,7.2186
TCGA-FS-A4FB-06,SKCM,non-glioma,9.812
TCGA-FS-A1ZA-06,SKCM,non-glioma,6.5257
TCGA-D3-A2JL-06,SKCM,non-glioma,7.6854
TCGA-ER-A2NG-06,SKCM,non-glioma,8.8635
TCGA-YD-A89C-06,SKCM,non-glioma,7.9568
TCGA-D3-A1Q7-06,SKCM,non-glioma,9.0476
TCGA-Z2-A8RT-06,SKCM,non-glioma,8.8981
TCGA-BF-AAP0-06,SKCM,non-glioma,9.6469
TCGA-EE-A2GL-06,SKCM,non-glioma,9.9813
TCGA-ER-A42K-06,SKCM,non-glioma,5.2548
TCGA-D3-A51E-06,SKCM,non-glioma,9.4348
TCGA-D9-A3Z3-06,SKCM,non-glioma,9.9913
TCGA-EE-A2MF-06,SKCM,non-glioma,8.6482
TCGA-FS-A1YX-06,SKCM,non-glioma,6.8485
TCGA-D3-A3MV-06,SKCM,non-glioma,6.2895
TCGA-FR-A729-06,SKCM,non-glioma,9.9007
TCGA-DA-A1HW-06,SKCM,non-glioma,8.4038
TCGA-ER-A19Q-06,SKCM,non-glioma,7.2209
TCGA-ER-A19E-06,SKCM,non-glioma,9.2583
TCGA-EE-A2MP-06,SKCM,non-glioma,9.5208
TCGA-FR-A69P-06,SKCM,non-glioma,8.5222
TCGA-EE-A29M-06,SKCM,non-glioma,8.8383
TCGA-DA-A1IA-06,SKCM,non-glioma,5.6899
TCGA-FS-A1Z0-06,SKCM,non-glioma,10.0403
TCGA-D3-A2JG-06,SKCM,non-glioma,9.5686
TCGA-FR-A44A-06,SKCM,non-glioma,9.0703
TCGA-EE-A2GS-06,SKCM,non-glioma,8.8511
TCGA-D3-A8GN-06,SKCM,non-glioma,9.6797
TCGA-DA-A1I5-06,SKCM,non-glioma,8.4445
TCGA-WE-A8ZT-06,SKCM,non-glioma,7.9348
TCGA-LH-A9QB-06,SKCM,non-glioma,9.6553
TCGA-D3-A5GR-06,SKCM,non-glioma,8.7693
TCGA-EE-A2MK-06,SKCM,non-glioma,6.5536
TCGA-D3-A5GN-06,SKCM,non-glioma,6.2411
TCGA-D3-A3C3-06,SKCM,non-glioma,6.8292
TCGA-D3-A8GO-06,SKCM,non-glioma,10.7193
TCGA-FR-A3YO-06,SKCM,non-glioma,8.1266
TCGA-RP-A6K9-06,SKCM,non-glioma,8.175
TCGA-YD-A9TB-06,SKCM,non-glioma,8.2207
TCGA-ND-A4WA-01,UCS,non-glioma,10.5102
TCGA-NF-A5CP-01,UCS,non-glioma,9.4918
TCGA-N8-A4PP-01,UCS,non-glioma,10.6773
TCGA-N7-A4Y5-01,UCS,non-glioma,10.4838
TCGA-N6-A4VE-01,UCS,non-glioma,10.3005
TCGA-N6-A4VC-01,UCS,non-glioma,10.6674
TCGA-ND-A4WC-01,UCS,non-glioma,10.2555
TCGA-N8-A4PL-01,UCS,non-glioma,10.5376
TCGA-N6-A4VD-01,UCS,non-glioma,10.8705
TCGA-NA-A4R0-01,UCS,non-glioma,9.4974
TCGA-NA-A5I1-01,UCS,non-glioma,10.5425
TCGA-N6-A4VG-01,UCS,non-glioma,9.5789
TCGA-N9-A4PZ-01,UCS,non-glioma,9.1331
TCGA-ND-A4WF-01,UCS,non-glioma,10.3897
TCGA-N8-A4PQ-01,UCS,non-glioma,10.9822
TCGA-N8-A56S-01,UCS,non-glioma,10.6161
TCGA-NA-A4R1-01,UCS,non-glioma,10.648
TCGA-NG-A4VW-01,UCS,non-glioma,10.7133
TCGA-N8-A4PM-01,UCS,non-glioma,10.6614
TCGA-N7-A4Y8-01,UCS,non-glioma,10.8937
TCGA-NA-A4QV-01,UCS,non-glioma,10.4707
TCGA-N5-A4RN-01,UCS,non-glioma,10.1647
TCGA-N8-A4PI-01,UCS,non-glioma,9.708
TCGA-N9-A4Q1-01,UCS,non-glioma,11.5217
TCGA-N5-A4RD-01,UCS,non-glioma,10.2024
TCGA-N5-A4RT-01,UCS,non-glioma,9.1398
TCGA-N7-A59B-01,UCS,non-glioma,11.5339
TCGA-N9-A4Q7-01,UCS,non-glioma,10.9235
TCGA-N5-A4RF-01,UCS,non-glioma,7.131
TCGA-N8-A4PN-01,UCS,non-glioma,10.0911
TCGA-N9-A4Q8-01,UCS,non-glioma,10.7911
TCGA-N5-A4RO-01,UCS,non-glioma,9.4268
TCGA-ND-A4W6-01,UCS,non-glioma,10.4878
TCGA-QM-A5NM-01,UCS,non-glioma,11.2891
TCGA-N8-A4PO-01,UCS,non-glioma,9.5066
TCGA-N5-A4RS-01,UCS,non-glioma,9.8905
TCGA-N5-A59F-01,UCS,non-glioma,11.6367
TCGA-N7-A4Y0-01,UCS,non-glioma,11.1898
TCGA-N9-A4Q3-01,UCS,non-glioma,10.02
TCGA-N5-A4RA-01,UCS,non-glioma,10.1129
TCGA-NG-A4VU-01,UCS,non-glioma,10.145
TCGA-N5-A4RM-01,UCS,non-glioma,10.0795
TCGA-N5-A4RV-01,UCS,non-glioma,11.9907
TCGA-N5-A59E-01,UCS,non-glioma,10.3378
TCGA-NA-A4QY-01,UCS,non-glioma,10.7919
TCGA-N5-A4RJ-01,UCS,non-glioma,10.2393
TCGA-N9-A4Q4-01,UCS,non-glioma,9.9449
TCGA-NA-A4QW-01,UCS,non-glioma,9.6752
TCGA-NF-A4WX-01,UCS,non-glioma,10.0541
TCGA-NA-A4QX-01,UCS,non-glioma,10.002
TCGA-N6-A4V9-01,UCS,non-glioma,10.0692
TCGA-NF-A4WU-01,UCS,non-glioma,10.4453
TCGA-NF-A4X2-01,UCS,non-glioma,9.66
TCGA-QN-A5NN-01,UCS,non-glioma,10.6466
TCGA-N5-A4RU-01,UCS,non-glioma,9.9959
TCGA-N6-A4VF-01,UCS,non-glioma,9.7909
TCGA-EL-A3CO-01,THCA,non-glioma,9.8718
TCGA-DJ-A13L-01,THCA,non-glioma,10.0721
TCGA-J8-A3YF-01,THCA,non-glioma,10.3472
TCGA-EL-A3MY-01,THCA,non-glioma,9.5843
TCGA-BJ-A0ZG-01,THCA,non-glioma,9.9994
TCGA-BJ-A28S-01,THCA,non-glioma,9.8592
TCGA-BJ-A2NA-01,THCA,non-glioma,10.1373
TCGA-EM-A1CT-01,THCA,non-glioma,9.254
TCGA-EL-A4K6-01,THCA,non-glioma,10.4557
TCGA-EM-A22O-01,THCA,non-glioma,10.1933
TCGA-EL-A4K7-01,THCA,non-glioma,11.1671
TCGA-MK-A84Z-01,THCA,non-glioma,10.4992
TCGA-EM-A4FO-01,THCA,non-glioma,10.1378
TCGA-DE-A4MD-01,THCA,non-glioma,9.8836
TCGA-BJ-A290-01,THCA,non-glioma,10.377
TCGA-DJ-A1QL-01,THCA,non-glioma,10.4452
TCGA-EL-A3GP-01,THCA,non-glioma,9.4385
TCGA-FE-A231-01,THCA,non-glioma,9.97
TCGA-DJ-A1QO-01,THCA,non-glioma,9.6692
TCGA-EM-A4FH-01,THCA,non-glioma,10.2701
TCGA-EL-A4K9-01,THCA,non-glioma,10.507
TCGA-BJ-A0ZB-01,THCA,non-glioma,9.516
TCGA-EL-A3MZ-01,THCA,non-glioma,10.3894
TCGA-EM-A2OZ-01,THCA,non-glioma,9.9806
TCGA-BJ-A0YZ-01,THCA,non-glioma,9.9899
TCGA-DJ-A2PW-01,THCA,non-glioma,9.867
TCGA-EM-A22P-01,THCA,non-glioma,10.2819
TCGA-ET-A3DW-01,THCA,non-glioma,10.1251
TCGA-DJ-A2PZ-01,THCA,non-glioma,10.0549
TCGA-DJ-A3UO-01,THCA,non-glioma,10.2799
TCGA-DJ-A3VK-01,THCA,non-glioma,10.0901
TCGA-EL-A3T3-01,THCA,non-glioma,10.529
TCGA-EL-A4KI-01,THCA,non-glioma,10.8493
TCGA-DJ-A1QG-01,THCA,non-glioma,9.719
TCGA-EL-A3D4-01,THCA,non-glioma,10.7777
TCGA-EM-A2CN-01,THCA,non-glioma,10.7001
TCGA-ET-A40S-01,THCA,non-glioma,9.7839
TCGA-EM-A3AO-01,THCA,non-glioma,9.9514
TCGA-DJ-A13U-01,THCA,non-glioma,9.8012
TCGA-DJ-A4UQ-01,THCA,non-glioma,10.0041
TCGA-BJ-A18Z-01,THCA,non-glioma,8.4558
TCGA-EL-A3H2-01,THCA,non-glioma,9.4068
TCGA-BJ-A0Z2-01,THCA,non-glioma,9.1093
TCGA-E3-A3E5-01,THCA,non-glioma,10.5496
